"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Axis.24","Axis.25","Axis.26","Axis.27","Axis.28","Axis.29","Axis.30","Axis.31","Axis.32","Axis.33","Axis.34","Axis.35","Axis.36","Axis.37","Axis.38","Axis.39","Axis.40","Axis.41","Axis.42","Axis.43"
"A.10",0.272859516162981,0.150306953333746,0.0479613621894468,0.0183093309796766,-0.00605832764829299,0.119281562206303,0.0698444136754349,0.0361558045802271,-0.0332190781567629,0.0241929070679376,-0.237505847515311,-0.0533898446463988,-0.0377115037212799,-0.0193801985477662,0.0651811749184402,0.0125284741544857,-0.0153947241216675,-0.0198209922668158,0.00461514533836196,-0.00944440895345976,-0.03032409204139,-0.016806807117304,0.0154890518881681,0.0183954552715355,-0.0152932945118768,-0.0018998924761511,-0.0211922219675731,-0.00658808433599508,0.00123148632511966,0.0283658046627642,0.00811878566004067,-0.0181684346739863,0.0442476415152363,-0.00508398481488161,-0.00985849245162121,0.0383804971875992,-0.00158258182411613,0.0105393347488844,-0.00410535457084823,0.00840307641626708,-0.0095528598059773,-0.00013874816077357,0.00392429043887412
"A.11",0.278505234102956,0.144728490648438,0.044113046893644,0.0554128623027667,-0.00405439581430335,0.118810308283681,0.0185919192441776,0.0277281092007143,-0.0536000503095832,-0.00436338385751019,-0.198566210024289,-0.0227449510351167,-0.0222090218964934,-0.0569181561084218,0.0434032870410596,0.0215710423267439,-0.0112744972685211,-0.0133838075523293,0.0050637334824999,-0.0121194869517983,-0.0119476925659555,0.0147041021943592,-0.0267491588201674,-0.0084596398643724,0.0288677738173019,0.0208107945625638,0.0192264849094045,-0.00149671469535908,0.0234997336509677,-0.011351175991579,-0.0173077778531858,0.00770382637575671,0.000545032478920345,0.0207780460440923,0.00870696186921664,-0.0271115498658668,-0.0322794930578862,-0.00834485906238938,0.0186573461175594,0.00521755065084636,0.0140604480198061,0.00294010483862763,-0.0085081753653718
"A.12",0.284509695962556,0.155870062066024,-0.0222134520018555,-0.141221031075126,-0.0725339753437406,0.0873347574749411,-0.257981117300826,0.1040689189113,0.0436468607957759,0.0271928049835863,0.0455487117260147,0.0024667194166409,0.004590555141863,0.0510352246392134,-0.0183396787586242,-0.0173462193968195,-0.00210512032452667,0.014031696246315,-0.00358710862031001,-0.0154774661201558,0.0122037748571564,0.0377709107835689,0.0168325150744746,0.0157723807093015,0.0704142797303394,-0.0472172281514228,0.0124798070977689,0.0217654543821731,0.0112405691815302,-0.0140566168979421,-0.011673796454045,0.0026271837004251,-0.0232380495643492,-0.0105552067246987,-0.00249554188593627,0.00359970709730379,-0.00689240436085535,0.0274476087561231,-0.0112525873719423,0.00510944180113306,0.00548693448146788,0.000692447606082326,-0.00668460994746142
"A.13",0.307095568457526,0.176078519445573,-0.0354680228393771,-0.14962166840329,-0.0765710603537665,0.0614360068699958,-0.272609502926092,0.132528122145063,0.050795610703824,0.0200511021636289,0.00772155400826128,0.0192675524181363,0.00308410746395902,0.00612529196868289,-0.0223247131576095,-0.00868289301864018,-0.0528670323784742,0.0286569024433221,-0.00953946330942058,0.041802594456499,-0.0101868309006264,-0.00548656190881756,0.00205483802127036,0.0138093327371183,-0.0311229722961354,-0.00127214423250033,-0.0269217512651969,-0.0244670489598282,0.0160132611898778,0.0155852818423956,0.0375170226870358,0.00676796815412772,0.0385462636164962,0.0214971784647792,0.0143173064393749,0.00682775513906852,0.00569738196268414,0.00428986034195597,-0.00155800094291356,-0.00678907758038025,0.00435938493423256,-0.00286530044313297,0.00302375444500737
"A.14",0.318435815145189,0.165141561636965,-0.0429964439727649,-0.145520860768132,-0.0789048397069001,0.05280494782631,-0.251700493805965,0.11993143539826,0.0551640528624729,0.0446622160275845,-0.0108161139647798,0.0167506878334618,0.0080529115661895,0.0316503285292313,-0.0465680462225637,0.00526698218173408,-0.0287929884616022,0.0530449176939545,0.0113481120304194,0.0105575215374337,0.00175366528967748,-0.00589908439831892,0.0155438912985611,0.00294180084894868,-0.0355362689999437,0.0242728457318194,0.0272999617212089,0.0227184168245078,-0.0227335846389312,-0.0111780426640644,-0.0246474553302444,-0.0225697032540214,-0.00949931840182736,-0.00967672076513481,-0.0133894893441071,-0.00462407517710969,-0.00426539804454179,-0.0320308651783364,0.0135838672399501,0.00553541493985019,-0.00996656966130173,0.00236211994484576,0.00334447640623514
"A.15",0.0470573438477517,-0.305340857667446,0.019723119803503,0.0832385920141859,-0.144059073313378,-0.08225165419715,-0.0188160468513219,-0.0773832259785549,0.0627506375824721,0.174953610609123,-0.035181131892096,0.0536937503963866,-0.0560491793905699,-0.044015659434605,-0.0223674731658294,0.0511341235375115,-0.0298201434403186,0.0683324214697991,0.0160764188444095,0.0127023410920424,-0.0129220810878968,-0.019338400547385,-0.0154839104885244,-0.0503280044687968,-0.0071964913126016,0.0450927560305737,-0.0101367629564517,0.0177955437180019,-0.0263357890584993,0.0105128371574549,-0.0004239888027831,-0.0079022540289967,-0.0145427517042586,0.0124101572171042,-0.00626397731619865,-0.00712802560313931,-0.0149742073009741,0.00384777565410074,0.000560656261355116,-0.00364052804773678,0.00430785871233885,0.00220688623017736,-0.000630222893400907
"A.16",0.0511237165622631,-0.279606304136639,0.0525292452569452,0.0335074620006663,-0.156778863583226,-0.137936373328849,-0.0603614915644403,-0.0310739544539584,0.0590363007934667,0.141502494287576,-0.00412039799459145,0.0443280498660482,-0.0577280972250107,-0.0556473865170048,0.0298232030621439,0.0250323649228877,0.0073931043396221,-0.00760737385195786,0.0440440514951707,-0.0504497223812272,-0.0187685762823596,-0.0392969732731388,-0.0128332993410714,-0.0257901727452897,-0.00537603066696043,-0.0521647979261667,0.0139972519745031,-0.0100737508092196,0.0448602148637471,0.00746466822851767,-0.0229135958673278,-0.0305036390730003,0.0134059643701145,-0.00480301403791839,0.0030710789268849,-0.00143853990813431,0.013261192210889,0.00694426438100273,0.00233842853832027,-0.00339013402619438,-0.00632941784208715,-0.000382120244180508,-0.00511847030462723
"A.17",0.0960232813129478,-0.21506253174371,-0.0943417132501649,0.101350340942229,0.0125266873912723,-0.0514706358643834,-0.046831482332102,-0.0431736900004975,0.0911943023035783,0.00821783262848642,-0.0627828628498519,0.101566988796017,-0.0421435819977632,-0.0188301117023787,-0.00172490530012131,-0.123195366166079,0.0312179520107329,0.0674438624503474,-0.0204730508083564,-0.0198991367978033,0.0502499994010668,-0.045871160209689,-0.0176972402888399,0.00389277675957356,0.00489870237279333,0.0128223561829197,0.0194673528143363,-0.0709112504010514,0.0281921150437798,-0.0198044875018334,0.0267561793232321,0.0358740782422139,-0.0133901297663329,6.76724281401701e-05,-0.00565242467816304,0.0195937848282819,-0.00251360218224899,-0.0036706311712212,-0.00537369901473216,0.00237348413705174,0.00215101191189286,0.00048198556046151,-0.0012981367398881
"A.18",0.210655746693971,-0.0878208077440873,-0.203153759946938,-0.0350856659584128,0.094239688123981,-0.147785198517893,0.121581702695887,-0.0283920346886605,0.0650087330606495,0.0425997582586347,-0.0232461972264798,0.00804922733823984,-0.0363296448944887,0.0900985722403535,-0.0614536017494737,0.0166169504690092,-0.0205339129015076,0.000657417836424394,-0.0323139130944017,0.0224014192626152,-0.037115867913812,0.00978330400400764,0.0154501842087425,0.040191995556289,0.0157194917336064,-0.0302511708746396,-0.0459339914302351,0.0293286598071263,0.00952367685976006,-0.000367718116005925,0.0299781690696418,0.0108647851662503,-0.0152514756889363,0.00633162988478804,-0.0416784358400241,-0.00722519598830165,-0.00653770854656815,-0.00105751918244292,0.0108143454703146,0.00718289207358143,0.00434705934166091,0.00340347911343787,0.0033339157738316
"A.19",0.218222561926402,-0.0963493927879424,-0.215589859070225,-0.00464764407523944,0.0874989880662825,-0.121681755528577,0.105098997091476,-0.0338640468998514,0.0772281869016498,0.0382867847232343,-0.0391909824555245,0.0571570735862557,-0.0455721756308334,0.0751067105980839,0.00219870148731896,0.00151318023655994,-0.0090061304287104,0.0380963875652529,-0.0214291923354366,0.00281779435787739,0.0104603240420589,0.037692747987803,0.0398507613459146,-0.00492166530592844,0.0215971101127159,0.0273171097405689,0.00159540617149917,0.0191301872127528,0.00259941436797514,-0.0130506962926425,0.0267642419162357,-0.0579445506051254,0.0185848825485914,-0.0148335805924651,0.0305084697551652,-0.0122313319735668,-0.00789246039699945,0.0075023970288001,-0.00761027522144196,0.00528620341660874,0.00254134174699013,-0.00242023153037561,-0.000952057624923925
